Subdivision,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
NAGA MANI MIZO TRIPURA,1984,23.0,7.3,28.8,201.9,414.2,481.6,1008.8,366.5,456.5,163.6,5.9,23.2,3181.2
NAGA MANI MIZO TRIPURA,1985,8.9,33.3,154.2,271.6,338.3,501.7,735.6,358.2,340.3,75.1,16.0,19.3,2852.5
NAGA MANI MIZO TRIPURA,1986,16.4,12.2,28.7,282.2,160.8,404.2,471.4,420.2,439.8,304.0,61.3,7.6,2608.9
NAGA MANI MIZO TRIPURA,1987,8.9,28.3,111.7,200.8,200.3,540.6,775.7,441.4,452.7,155.6,38.8,11.9,2966.7
NAGA MANI MIZO TRIPURA,1988,7.1,45.8,82.2,156.8,575.0,400.9,654.6,774.0,338.1,172.6,74.2,6.0,3287.3
NAGA MANI MIZO TRIPURA,1989,11.0,52.1,30.4,181.1,265.3,488.3,759.2,271.7,425.8,200.4,15.4,6.3,2706.9
NAGA MANI MIZO TRIPURA,1990,19.8,46.5,96.0,333.6,302.3,506.8,446.5,353.4,443.8,208.2,7.0,5.7,2769.7
NAGA MANI MIZO TRIPURA,1991,13.7,30.4,62.0,175.0,492.4,516.3,426.4,389.6,431.5,227.3,9.4,41.8,2815.7
NAGA MANI MIZO TRIPURA,1992,14.8,46.5,53.9,114.0,291.7,450.4,492.6,340.1,299.4,125.2,14.6,12.2,2255.4
NAGA MANI MIZO TRIPURA,1993,73.8,97.6,86.5,140.0,375.1,614.6,586.3,475.1,302.8,131.7,8.5,2.1,2894.3
NAGA MANI MIZO TRIPURA,1994,26.5,38.7,154.7,159.8,276.9,484.7,312.7,316.6,183.2,148.6,16.4,15.8,2134.6
NAGA MANI MIZO TRIPURA,1995,8.9,40.3,41.8,144.8,298.4,672.3,564.6,547.6,405.6,80.7,95.1,7.3,2907.4
NAGA MANI MIZO TRIPURA,1996,12.7,23.4,103.6,101.6,416.6,408.7,525.6,433.1,230.2,271.9,3.7,0.2,2531.3
NAGA MANI MIZO TRIPURA,1997,18.2,41.5,94.4,132.9,243.2,570.2,519.9,314.4,375.4,38.0,13.9,37.6,2399.7
NAGA MANI MIZO TRIPURA,1998,12.2,31.8,137.2,188.8,253.4,585.3,608.5,563.0,219.8,190.8,50.4,0.4,2841.3
NAGA MANI MIZO TRIPURA,1999,2.5,0.6,37.9,146.4,465.9,446.7,627.7,529.1,216.1,201.8,14.3,2.4,2691.4
NAGA MANI MIZO TRIPURA,2000,20.4,14.0,67.3,237.6,367.9,552.6,315.5,518.5,314.0,86.3,20.6,0.5,2515.0
NAGA MANI MIZO TRIPURA,2001,5.6,40.9,32.6,195.2,265.6,393.4,445.5,301.0,274.0,196.8,20.7,2.3,2173.5
NAGA MANI MIZO TRIPURA,2002,20.7,5.9,80.0,283.1,287.8,500.2,559.9,312.3,218.9,50.1,72.5,8.0,2399.3
NAGA MANI MIZO TRIPURA,2003,8.7,41.8,96.1,214.4,245.3,573.0,481.2,299.7,249.6,233.4,13.6,18.6,2475.3
NAGA MANI MIZO TRIPURA,2004,15.0,19.5,73.2,341.3,347.4,404.6,860.0,287.5,321.4,339.8,6.6,7.0,3023.3
NAGA MANI MIZO TRIPURA,2005,22.8,31.2,172.8,209.0,284.4,377.8,465.7,463.9,163.5,218.5,8.0,1.1,2418.7
NAGA MANI MIZO TRIPURA,2006,0.7,42.6,21.6,165.9,330.1,406.3,351.8,211.1,256.1,96.3,25.7,10.8,1919.1
